PCON11CD,PCON11NM,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E14000530,Aldershot,105221,1492,1540,1456,1438,1370,1363,1335,1373,1298,1195,1098,1094,1160,1166,1229,1217,1269,1275,1379,1101,1145,1211,1379,1619,1560,1595,1703,1578,1565,1583,1659,1678,1672,1690,1629,1472,1514,1566,1596,1629,1673,1654,1634,1610,1638,1621,1675,1674,1617,1592,1566,1490,1424,1319,1281,1174,1194,1097,1018,1038,1006,924,1003,958,983,1069,1189,851,850,855,817,683,662,620,634,608,591,485,495,468,391,374,353,363,310,267,249,237,204,162,680
E14000531,Aldridge-Brownhills,77229,826,765,811,791,888,831,838,872,813,841,825,834,848,911,923,921,955,950,927,843,774,788,813,832,789,831,812,816,782,747,792,803,773,826,789,745,730,803,860,887,969,1118,1143,1167,1142,1232,1224,1256,1205,1210,1198,1238,1150,1040,1011,1073,1017,942,871,849,838,835,833,953,1041,1032,1119,952,1000,985,919,901,779,799,813,856,767,704,629,583,580,562,528,502,405,359,304,287,204,228,672
E14000532,Altrincham and Sale West,98202,1117,1217,1287,1247,1341,1303,1264,1305,1279,1230,1313,1260,1163,1219,1250,1326,1257,1180,1227,836,663,782,902,926,917,1017,971,987,1050,1114,1061,1132,1213,1235,1234,1220,1256,1309,1444,1388,1451,1678,1576,1554,1560,1597,1503,1556,1612,1604,1579,1520,1358,1290,1313,1351,1183,1168,1159,1115,1018,1012,1079,1107,1092,1186,1169,947,962,996,874,780,697,755,769,774,708,684,616,611,528,568,525,538,455,405,357,310,275,272,964
E14000533,Amber Valley,88679,997,952,994,1010,871,974,979,963,913,873,891,930,890,983,1050,1020,1041,1080,1026,900,932,963,1095,1036,1022,1008,941,1001,1086,946,1039,991,1081,1133,995,907,976,1012,1044,1157,1176,1351,1350,1307,1424,1307,1422,1331,1398,1350,1412,1258,1239,1181,1235,1139,1182,1179,1115,1180,1140,1151,1134,1228,1288,1356,1473,1035,1036,1100,985,880,774,721,763,689,659,594,557,523,511,451,433,415,366,311,300,297,241,225,805
E14000534,Arundel and South Downs,98118,793,946,973,1035,1055,1023,1083,1064,1060,1112,1124,1042,1141,1150,1173,1179,1118,1125,1081,920,684,676,771,805,774,731,704,642,640,652,701,750,852,866,868,848,799,928,957,1127,1229,1379,1346,1328,1419,1504,1567,1599,1616,1596,1599,1559,1473,1420,1438,1409,1380,1330,1333,1358,1343,1358,1353,1430,1479,1637,1870,1470,1384,1372,1368,1199,1019,1112,1051,1075,925,921,890,812,786,721,754,681,657,554,498,453,370,369,1353
E14000535,Ashfield,103346,1259,1309,1357,1269,1259,1223,1224,1174,1130,1100,1127,1083,1103,1136,1244,1216,1283,1285,1199,1163,1103,1139,1216,1275,1271,1259,1256,1234,1189,1129,1184,1181,1293,1254,1182,1107,1098,1169,1195,1256,1370,1485,1524,1550,1636,1563,1570,1573,1636,1580,1637,1475,1513,1499,1471,1298,1293,1247,1298,1265,1280,1230,1231,1299,1297,1428,1445,1163,1207,1225,1201,951,856,870,859,802,774,692,643,582,563,536,488,423,402,350,321,324,280,212,796
E14000536,Ashford,116546,1520,1568,1527,1535,1566,1594,1551,1475,1433,1486,1489,1508,1510,1446,1564,1508,1590,1512,1479,1227,1205,1252,1235,1312,1321,1393,1377,1369,1305,1291,1349,1285,1305,1385,1363,1321,1293,1338,1380,1524,1572,1602,1769,1845,1859,1878,1875,1888,1783,1817,1721,1717,1605,1453,1453,1359,1344,1269,1283,1238,1244,1295,1276,1328,1386,1538,1692,1252,1276,1226,1174,952,836,916,865,821,782,735,696,669,585,664,591,500,473,415,360,353,308,287,1030
E14000537,Ashton-under-Lyne,91095,1261,1296,1249,1281,1133,1144,1113,1080,1091,1041,968,1023,1058,1036,1081,1109,1202,1160,1140,1056,1076,1149,1234,1144,1232,1295,1211,1315,1207,1212,1243,1253,1199,1185,1116,970,1021,1058,1068,1100,1181,1292,1334,1360,1374,1381,1425,1385,1425,1439,1379,1332,1349,1207,1200,1197,1129,1034,987,953,1017,952,984,996,929,1107,1215,835,860,870,850,742,678,698,641,687,660,570,510,501,429,466,435,337,291,240,231,235,189,171,596
E14000538,Aylesbury,112583,1628,1690,1735,1648,1636,1600,1535,1451,1379,1379,1321,1301,1329,1341,1406,1263,1374,1367,1369,1155,1128,1111,1225,1229,1395,1443,1400,1471,1486,1463,1540,1501,1664,1712,1699,1601,1616,1578,1587,1678,1664,1690,1771,1716,1731,1763,1818,1795,1761,1777,1688,1574,1633,1581,1344,1449,1265,1180,1182,1192,1156,1169,1133,1088,1236,1161,1322,886,947,959,888,815,705,739,721,660,666,643,622,527,536,495,465,420,401,325,315,287,233,208,847
E14000539,Banbury,119315,1551,1604,1743,1623,1654,1691,1674,1490,1506,1381,1385,1242,1373,1440,1545,1475,1511,1429,1399,1121,1065,1113,1174,1313,1394,1463,1520,1627,1724,1664,1693,1703,1743,1758,1693,1605,1492,1480,1679,1705,1770,1867,1804,1852,1905,1823,1859,1943,1877,1863,1796,1714,1638,1639,1480,1477,1368,1385,1316,1213,1267,1231,1250,1287,1327,1410,1429,1097,1103,1081,1064,924,801,810,824,797,737,674,689,575,542,525,544,473,432,377,322,309,255,216,909
