"id","name","Con","Green","Lab","LibDem","Plaid","SNP","UKIP","Win","Second","total_votes","Con_p","Green_p","Lab_p","LibDem_p","Plaid_p","SNP_p","UKIP_p","under18","under40","over40","total_voters","p_older","houses_1996","houses_2013"
"E14000530","Aldershot",23369,2025,8468,4076,0,0,8253,"Conservative","Labour",46191,50.6,4.4,18.3,8.8,0,0,17.9,23368,35196,46657,81853,0.570009651448328,63950,213000
"E14000531","Aldridge-Brownhills",20558,826,8835,1330,0,0,7751,"Conservative","Labour",39300,52,2.1,22.4,3.4,0,0,19.6,15443,18731,43055,61786,0.69684070825106,58000,155000
"E14000532","Altrincham & Sale West",26771,1983,13481,4235,0,0,4047,"Conservative","Labour",50517,53,3.9,26.7,8.4,0,0,8,22558,25335,50309,75644,0.665075881761938,74000,236000
"E14000533","Amber Valley",20106,1087,15901,1360,0,0,7263,"Conservative","Labour",45717,44,2.4,34.8,3,0,0,15.9,17411,23467,47801,71268,0.670721782567211,37145,120000
"E14000534","Arundel & South Downs",34331,3606,6324,4062,0,0,8154,"Conservative","UKIP",56477,60.8,6.4,11.2,7.2,0,0,14.4,19196,19005,59917,78922,0.759192620562074,81000,299998
"E14000535","Ashfield",10628,0,19448,7030,0,0,10150,"Labour","Conservative",47256,22.4,0,41,14.8,0,0,21.4,21781,27722,53843,81565,0.660123827622142,37000,105000
"E14000536","Ashford",30094,2467,10580,3433,0,0,10798,"Conservative","UKIP",57372,52.5,4.3,18.4,6,0,0,18.8,27382,30881,58283,89164,0.653660670225652,59125,195000
"E14000537","Ashton-under-Lyne",8610,1531,19366,943,0,0,8468,"Labour","Conservative",38918,22.1,3.9,49.8,2.4,0,0,21.8,20326,26665,44104,70769,0.623210727861069,38000,94750
"E14000538","Aylesbury",28083,2135,8391,5885,0,0,10925,"Conservative","UKIP",55419,50.7,3.9,15.1,10.6,0,0,19.7,26383,33715,52485,86200,0.608874709976798,65000,219950
"E14000539","Banbury",30749,2686,12354,3440,0,0,8050,"Conservative","Labour",57279,53,4.6,21.3,5.9,0,0,13.9,27317,34898,57100,91998,0.620665666644927,59000,210000
"E14000540","Barking",7019,879,24826,562,0,0,9554,"Labour","UKIP",42840,16.3,2,57.7,1.3,0,0,22.2,39037,45996,43433,89429,0.485670196468707,57998,180000
"E14000541","Barnsley Central",5485,938,20376,770,0,0,7941,"Labour","UKIP",35510,15,2.6,55.7,2.1,0,0,21.7,18271,25019,44215,69234,0.638631308316723,38000,96750
"E14000542","Barnsley East",5622,0,21079,1213,0,0,9045,"Labour","UKIP",36959,14.6,0,54.7,3.1,0,0,23.5,19690,25692,46866,72558,0.64591085752088,37500,98000
"E14000543","Barrow & Furness",17525,1061,18320,1169,0,0,5070,"Labour","Conservative",43145,40.5,2.5,42.3,2.7,0,0,11.7,17018,21703,48767,70470,0.692024975166738,35000,115000
"E14000544","Basildon & Billericay",22668,0,10186,1636,0,0,8538,"Conservative","Labour",43028,52.7,0,23.7,3.8,0,0,19.8,21375,26098,44532,70630,0.630496955967719,59995,219125
"E14000545","Basingstoke",25769,0,14706,3919,0,0,8290,"Conservative","Labour",52684,48.6,0,27.7,7.4,0,0,15.6,26074,36156,49376,85532,0.577281017630828,60000,210000
"E14000546","Bassetlaw",15122,1006,23965,1331,0,0,7865,"Labour","Conservative",49289,30.7,2,48.6,2.7,0,0,16,21182,26741,56553,83294,0.678956467452638,41000,122000
"E14000547","Bath",17833,5634,6216,14000,0,0,2922,"Conservative","Liberal Democrat",46605,37.8,11.9,13.2,29.7,0,0,6.2,15671,36330,39660,75990,0.521910777733912,64000,250000
"E14000548","Batley & Spen",15769,1232,21826,2396,0,0,9080,"Labour","Conservative",50303,31.2,2.4,43.2,4.7,0,0,18,26359,32568,50548,83116,0.608162086722171,42175,117500
