"name","id","Con","Green","Lab","LibDem","Plaid","SNP","UKIP","Win","Second"
"Aberavon","W07000049",11.9,2.3,48.9,4.4,11.6,0,15.8,"Labour","UKIP"
"Aberconwy","W07000058",41.5,2.4,28.2,4.6,11.7,0,11.5,"Conservative","Labour"
"Aberdeen North","S14000001",12.1,0,25.9,4.7,0,56.4,0,"Scottish National Party","Labour"
"Aberdeenshire West & Kincardine","S14000058",28.8,1.6,4.5,21.4,0,41.6,1.8,"Scottish National Party","Conservative"
"Aberdeen South","S14000002",22.8,2,26.8,4.6,0,41.6,1.8,"Scottish National Party","Labour"
"Airdrie & Shotts","S14000003",7.7,0,34.1,1.5,0,53.9,2.5,"Scottish National Party","Labour"
"Aldershot","E14000530",50.6,4.4,18.3,8.8,0,0,17.9,"Conservative","Labour"
"Aldridge-Brownhills","E14000531",52,2.1,22.4,3.4,0,0,19.6,"Conservative","Labour"
"Altrincham & Sale West","E14000532",53,3.9,26.7,8.4,0,0,8,"Conservative","Labour"
"Alyn & Deeside","W07000043",31.9,2.4,40,4.2,3.9,0,17.6,"Labour","Conservative"
"Amber Valley","E14000533",44,2.4,34.8,3,0,0,15.9,"Conservative","Labour"
"Angus","S14000004",29,2.2,8.8,2.7,0,54.2,3,"Scottish National Party","Conservative"
"Arfon","W07000057",13.1,0,30.3,2.7,43.9,0,8.5,"Plaid Cymru","Labour"
"Argyll & Bute","S14000005",14.9,0,10.4,27.9,0,44.3,2.5,"Scottish National Party","Liberal Democrat"
"Arundel & South Downs","E14000534",60.8,6.4,11.2,7.2,0,0,14.4,"Conservative","UKIP"
"Ashfield","E14000535",22.4,0,41,14.8,0,0,21.4,"Labour","Conservative"
"Ashford","E14000536",52.5,4.3,18.4,6,0,0,18.8,"Conservative","UKIP"
"Ashton-under-Lyne","E14000537",22.1,3.9,49.8,2.4,0,0,21.8,"Labour","Conservative"
"Aylesbury","E14000538",50.7,3.9,15.1,10.6,0,0,19.7,"Conservative","UKIP"
"Ayr, Carrick & Cumnock","S14000006",19.8,0,27.3,1.6,0,48.8,2.5,"Scottish National Party","Labour"
"Ayrshire Central","S14000010",17.3,1.3,26.4,1.8,0,53.2,0,"Scottish National Party","Labour"
"Ayrshire North & Arran","S14000048",14.8,0,28,1.7,0,53.2,2.4,"Scottish National Party","Labour"
"Banbury","E14000539",53,4.6,21.3,5.9,0,0,13.9,"Conservative","Labour"
"Banff & Buchan","S14000007",28.8,0,5.8,5.1,0,60.2,0,"Scottish National Party","Conservative"
"Barking","E14000540",16.3,2,57.7,1.3,0,0,22.2,"Labour","UKIP"
"Barnsley Central","E14000541",15,2.6,55.7,2.1,0,0,21.7,"Labour","UKIP"
"Barnsley East","E14000542",14.6,0,54.7,3.1,0,0,23.5,"Labour","UKIP"
"Barrow & Furness","E14000543",40.5,2.5,42.3,2.7,0,0,11.7,"Labour","Conservative"
"Basildon & Billericay","E14000544",52.7,0,23.7,3.8,0,0,19.8,"Conservative","Labour"
"Basildon South & Thurrock East","E14000933",43.4,0,25.2,3,0,0,26.5,"Conservative","UKIP"
"Basingstoke","E14000545",48.6,0,27.7,7.4,0,0,15.6,"Conservative","Labour"
"Bassetlaw","E14000546",30.7,2,48.6,2.7,0,0,16,"Labour","Conservative"
"Bath","E14000547",37.8,11.9,13.2,29.7,0,0,6.2,"Conservative","Liberal Democrat"
"Batley & Spen","E14000548",31.2,2.4,43.2,4.7,0,0,18,"Labour","Conservative"
"Battersea","E14000549",52.4,3.3,36.8,4.4,0,0,3.1,"Conservative","Labour"
"Beaconsfield","E14000550",63.2,4.2,11.4,7.4,0,0,13.8,"Conservative","UKIP"
"Beckenham","E14000551",57.3,3.8,19.4,6.9,0,0,12.5,"Conservative","Labour"
"Bedford","E14000552",42.6,3.1,40.2,4.2,0,0,9.6,"Conservative","Labour"
"Bedfordshire Mid","E14000813",56.1,4.2,15.9,7.2,0,0,15.4,"Conservative","Labour"
"Bedfordshire North East","E14000841",59.5,4.3,15.8,5.8,0,0,14.6,"Conservative","Labour"
"Bedfordshire South West","E14000949",55,4.1,20.3,5.2,0,0,15.5,"Conservative","Labour"
"Bermondsey & Old Southwark","E14000553",11.8,3.9,43.1,34.3,0,0,6.3,"Labour","Liberal Democrat"
"Berwickshire, Roxburgh & Selkirk","S14000008",36,1.1,4.9,18.7,0,36.6,2.4,"Scottish National Party","Conservative"
"Berwick-upon-Tweed","E14000554",41.1,3.7,14.9,28.9,0,0,11.2,"Conservative","Liberal Democrat"
"Bethnal Green & Bow","E14000555",15.2,9.3,61.2,4.5,0,0,6.1,"Labour","Conservative"
"Beverley & Holderness","E14000556",48.1,3.4,25,5.5,0,0,16.7,"Conservative","Labour"
"Bexhill & Battle","E14000557",54.8,5.1,14.1,7.6,0,0,18.4,"Conservative","UKIP"
"Bexleyheath & Crayford","E14000558",47.3,2.2,26.2,3,0,0,21,"Conservative","Labour"
"Birkenhead","E14000559",14.9,4.2,67.6,3.6,0,0,9.8,"Labour","Conservative"
"Birmingham Edgbaston","E14000560",38.3,3.3,44.8,2.9,0,0,10.1,"Labour","Conservative"
"Birmingham Erdington","E14000561",30.8,2.7,45.6,2.8,0,0,17.4,"Labour","Conservative"
"Birmingham Hall Green","E14000562",17.7,4.7,59.8,11.6,0,0,4.5,"Labour","Conservative"
"Birmingham Hodge Hill","E14000563",11.5,2,68.4,6.4,0,0,11.3,"Labour","Conservative"
"Birmingham Ladywood","E14000564",12.7,4.2,73.6,3.8,0,0,5,"Labour","Conservative"
"Birmingham Northfield","E14000565",35.7,2.8,41.6,3.2,0,0,16.7,"Labour","Conservative"
"Birmingham Perry Barr","E14000566",21.5,3.2,57.4,4.8,0,0,12.2,"Labour","Conservative"
"Birmingham Selly Oak","E14000567",29,5.1,47.7,5.6,0,0,12.7,"Labour","Conservative"
"Birmingham Yardley","E14000568",14,1.7,41.6,25.6,0,0,16.1,"Labour","Liberal Democrat"
"Bishop Auckland","E14000569",32.5,3.9,41.4,4.4,0,0,17.8,"Labour","Conservative"
"Blackburn","E14000570",27.3,0,56.3,2.2,0,0,14.3,"Labour","Conservative"
"Blackley & Broughton","E14000571",15,4.2,61.9,2.4,0,0,16.5,"Labour","UKIP"
"Blackpool North & Cleveleys","E14000572",44.4,2.3,36,2.4,0,0,14.8,"Conservative","Labour"
"Blackpool South","E14000573",33.8,2.6,41.8,2.3,0,0,17.3,"Labour","Conservative"
"Blaenau Gwent","W07000072",10.8,2.3,58,2,9,0,17.9,"Labour","UKIP"
"Blaydon","E14000574",17.4,3.7,49.2,12.2,0,0,17.5,"Labour","UKIP"
"Blyth Valley","E14000575",21.7,3.8,46.3,5.9,0,0,22.3,"Labour","UKIP"
"Bognor Regis & Littlehampton","E14000576",51.3,4.1,13.8,9,0,0,21.7,"Conservative","UKIP"
"Bolsover","E14000577",24.5,0,51.2,3.3,0,0,21,"Labour","Conservative"
"Bolton North East","E14000578",32.8,2.6,43,2.9,0,0,18.8,"Labour","Conservative"
"Bolton South East","E14000579",20.3,2.9,50.5,2.6,0,0,23.6,"Labour","UKIP"
"Bolton West","E14000580",40.6,0,39,4,0,0,15.3,"Conservative","Labour"
"Bootle","E14000581",8.1,3.3,74.5,2.2,0,0,10.9,"Labour","UKIP"
"Boston & Skegness","E14000582",43.8,1.8,16.5,2.3,0,0,33.8,"Conservative","UKIP"
"Bosworth","E14000583",42.8,0,17.5,22.3,0,0,17.4,"Conservative","Liberal Democrat"
"Bournemouth East","E14000584",49.2,7.3,16.6,8.4,0,0,16.5,"Conservative","Labour"
"Bournemouth West","E14000585",48.2,7.4,17.7,7.9,0,0,18.5,"Conservative","UKIP"
"Bracknell","E14000586",55.8,4.1,16.9,7.5,0,0,15.7,"Conservative","Labour"
"Bradford East","E14000587",11.3,2.1,46.6,29.5,0,0,9.9,"Labour","Liberal Democrat"
"Bradford South","E14000588",26.3,3.3,43.4,2.9,0,0,24.1,"Labour","Conservative"
"Bradford West","E14000589",15.3,2.7,49.6,2.9,0,0,7.8,"Labour","Conservative"
"Braintree","E14000590",53.8,3.1,18.5,4.9,0,0,18.8,"Conservative","UKIP"
"Brecon & Radnorshire","W07000068",41.1,3.1,14.7,28.3,4.4,0,8.3,"Conservative","Liberal Democrat"
"Brent Central","E14000591",20.3,4.1,62.1,8.4,0,0,3.9,"Labour","Conservative"
"Brentford & Isleworth","E14000593",42.9,3.7,43.8,4,0,0,5.6,"Labour","Conservative"
"Brent North","E14000592",33.5,2.9,54.3,5,0,0,3.9,"Labour","Conservative"
"Brentwood & Ongar","E14000594",58.8,2.7,12.5,8.8,0,0,16.8,"Conservative","UKIP"
"Bridgend","W07000073",32.2,1.9,37.1,4.2,7.1,0,15,"Labour","Conservative"
"Bridgwater & Somerset West","E14000595",46,4.8,17.6,12.4,0,0,19.2,"Conservative","UKIP"
"Brigg & Goole","E14000596",53,2.1,27.2,1.8,0,0,15.5,"Conservative","Labour"
"Brighton Kemptown","E14000597",40.7,7,39.2,3,0,0,9.8,"Conservative","Labour"
"Brighton Pavilion","E14000598",22.8,41.8,27.3,2.8,0,0,5,"Green Party","Labour"
"Bristol East","E14000599",30.7,8.3,39.3,5.8,0,0,15.5,"Labour","Conservative"
"Bristol North West","E14000600",43.9,5.7,34.4,6.2,0,0,9.4,"Conservative","Labour"
"Bristol South","E14000601",24.3,11.5,38.4,8.7,0,0,16.5,"Labour","Conservative"
"Bristol West","E14000602",15.2,26.8,35.7,18.8,0,0,3,"Labour","Green Party"
"Broadland","E14000603",50.5,4.2,18.8,9.8,0,0,16.7,"Conservative","Labour"
"Bromley & Chislehurst","E14000604",53,4.1,22.2,6.4,0,0,14.3,"Conservative","Labour"
"Bromsgrove","E14000605",53.8,3.3,22.2,5,0,0,15.6,"Conservative","Labour"
"Broxbourne","E14000606",56.1,2.6,18.4,3.2,0,0,19.7,"Conservative","UKIP"
"Broxtowe","E14000607",45.2,2.9,37.2,4,0,0,10.6,"Conservative","Labour"
"Buckingham","E14000608",64.5,13.8,0,0,0,0,21.7,"Conservative","UKIP"
"Burnley","E14000609",13.5,2.1,37.6,29.5,0,0,17.3,"Labour","Liberal Democrat"
"Burton","E14000610",50.1,2.5,27.3,2.5,0,0,17.5,"Conservative","Labour"
"Bury North","E14000611",41.9,2.5,41.1,2.1,0,0,12.4,"Conservative","Labour"
"Bury South","E14000612",34.6,3,45.1,3.6,0,0,13.3,"Labour","Conservative"
"Bury St Edmunds","E14000613",53.6,7.9,17.7,6,0,0,14.7,"Conservative","Labour"
"Caerphilly","W07000076",16.6,2.3,44.3,2.3,14.6,0,19.3,"Labour","UKIP"
"Caithness, Sutherland & Easter Ross","S14000009",6.8,0,9,35.1,0,46.3,2.9,"Scottish National Party","Liberal Democrat"
"Calder Valley","E14000614",43.6,3.9,35.4,5,0,0,11.1,"Conservative","Labour"
"Camberwell & Peckham","E14000615",13.2,10.1,63.3,5,0,0,4.7,"Labour","Conservative"
"Camborne & Redruth","E14000616",40.2,5.7,25,12.4,0,0,14.8,"Conservative","Labour"
"Cambridge","E14000617",15.7,7.9,36,34.9,0,0,5.2,"Labour","Liberal Democrat"
"Cambridgeshire North East","E14000842",55.1,3.5,14.4,4.5,0,0,22.5,"Conservative","UKIP"
"Cambridgeshire North West","E14000855",52.5,3.5,17.9,5.7,0,0,20.1,"Conservative","UKIP"
"Cambridgeshire South","E14000934",51.1,6.3,17.6,15.2,0,0,9.8,"Conservative","Labour"
"Cambridgeshire South East","E14000937",48.5,5.1,15.1,20.2,0,0,11.1,"Conservative","Liberal Democrat"
"Cannock Chase","E14000618",44.2,1.9,33.7,2.7,0,0,17.5,"Conservative","Labour"
"Canterbury","E14000619",42.9,7,24.5,11.6,0,0,13.6,"Conservative","Labour"
"Cardiff Central","W07000050",14.7,6.4,40,27.1,5,0,6.5,"Labour","Liberal Democrat"
"Cardiff North","W07000051",42.4,2.5,38.3,3.8,4.5,0,7.7,"Conservative","Labour"
"Cardiff South & Penarth","W07000080",26.8,3.7,42.8,5,7.4,0,13.8,"Labour","Conservative"
"Cardiff West","W07000079",25.2,3.9,40.7,4.7,13.9,0,11.2,"Labour","Conservative"
"Carlisle","E14000620",44.3,2.6,37.8,2.6,0,0,12.4,"Conservative","Labour"
"Carmarthen East & Dinefwr","W07000067",21.2,2.8,24.2,2.4,38.4,0,11.1,"Plaid Cymru","Labour"
"Carmarthen West & Pembrokeshire South","W07000066",43.7,3.2,28.7,2.4,10.4,0,11.6,"Conservative","Labour"
"Carshalton & Wallington","E14000621",31.7,3.1,15,34.9,0,0,14.8,"Liberal Democrat","Conservative"
"Castle Point","E14000622",50.9,2.4,13.8,1.8,0,0,31.2,"Conservative","UKIP"
"Ceredigion","W07000064",11,5.6,9.7,35.9,27.7,0,10.2,"Liberal Democrat","Plaid Cymru"
"Charnwood","E14000625",54.3,0,21.9,6.9,0,0,15.9,"Conservative","Labour"
"Chatham & Aylesford","E14000626",50.2,2.6,23.6,3.2,0,0,19.9,"Conservative","Labour"
"Cheadle","E14000627",43.1,0,16.3,31,0,0,8.3,"Conservative","Liberal Democrat"
"Chelmsford","E14000628",51.5,3.5,17.6,11.9,0,0,14.2,"Conservative","Labour"
"Chelsea & Fulham","E14000629",62.9,3.7,23.1,5.2,0,0,5.1,"Conservative","Labour"
"Cheltenham","E14000630",46.1,5,7.3,34,0,0,7.1,"Conservative","Liberal Democrat"
"Chesham & Amersham","E14000631",59.1,5.5,12.7,9,0,0,13.7,"Conservative","UKIP"
"Chester, City of","E14000640",43.1,0,43.2,5.6,0,0,8.1,"Labour","Conservative"
"Chesterfield","E14000632",18.1,3,47.9,13.8,0,0,16.5,"Labour","Conservative"
"Chichester","E14000633",57.7,6.5,12.1,8.5,0,0,14.9,"Conservative","UKIP"
"Chingford & Woodford Green","E14000634",47.9,4.2,28.8,5.5,0,0,12.9,"Conservative","Labour"
"Chippenham","E14000635",47.6,4.2,8.2,29.4,0,0,10.6,"Conservative","Liberal Democrat"
"Chipping Barnet","E14000636",48.6,4.7,34.1,4.5,0,0,7.8,"Conservative","Labour"
"Chorley","E14000637",36.3,2.1,45.1,2.6,0,0,13.5,"Labour","Conservative"
"Christchurch","E14000638",58.1,4.3,9.5,6.6,0,0,21.5,"Conservative","UKIP"
"Cities of London & Westminster","E14000639",54.1,5.4,27.4,7,0,0,5.2,"Conservative","Labour"
"Clacton","E14000642",36.7,2.7,14.4,1.8,0,0,44.4,"UKIP","Conservative"
"Cleethorpes","E14000643",46.6,2.2,29.1,3,0,0,18.5,"Conservative","Labour"
"Clwyd South","W07000062",30.4,2.6,37.2,3.8,10.3,0,15.6,"Labour","Conservative"
"Clwyd West","W07000059",43.3,0,25.6,3.6,12.2,0,13.1,"Conservative","Labour"
"Coatbridge, Chryston & Bellshill","S14000011",6.3,0,33.9,1.1,0,56.6,2.1,"Scottish National Party","Labour"
"Colchester","E14000644",38.9,5.1,16.2,27.5,0,0,12.1,"Conservative","Liberal Democrat"
"Colne Valley","E14000645",44.4,3.4,35,6,0,0,10.1,"Conservative","Labour"
"Congleton","E14000646",53.3,3.7,20.4,9.1,0,0,13.6,"Conservative","Labour"
"Copeland","E14000647",35.8,3,42.3,3.5,0,0,15.5,"Labour","Conservative"
"Corby","E14000648",42.8,2.4,38.5,2.6,0,0,13.7,"Conservative","Labour"
"Cornwall North","E14000837",45,4.3,5.4,31.2,0,0,12.7,"Conservative","Liberal Democrat"
"Cornwall South East","E14000938",50.5,5.4,9.3,16.9,0,0,15.2,"Conservative","Liberal Democrat"
"Cotswolds, The","E14000991",56.5,4.6,9.2,18.6,0,0,10.9,"Conservative","Liberal Democrat"
"Coventry North East","E14000649",23.1,2.9,52.2,4.8,0,0,14.9,"Labour","Conservative"
"Coventry North West","E14000650",31,4.3,41,4,0,0,15.7,"Labour","Conservative"
"Coventry South","E14000651",35,3.9,42.3,4.1,0,0,13.1,"Labour","Conservative"
"Crawley","E14000652",47,2.3,33.6,2.8,0,0,14.4,"Conservative","Labour"
"Crewe & Nantwich","E14000653",45,0,37.7,2.8,0,0,14.5,"Conservative","Labour"
"Croydon Central","E14000654",43,2.7,42.7,2.2,0,0,9.1,"Conservative","Labour"
"Croydon North","E14000655",22.7,4.7,62.6,3.6,0,0,5.4,"Labour","Conservative"
"Croydon South","E14000656",54.5,3.7,24.8,6,0,0,10.5,"Conservative","Labour"
"Cumbernauld, Kilsyth & Kirkintilloch East","S14000012",7.9,0,30,2.2,0,59.9,0,"Scottish National Party","Labour"
"Cynon Valley","W07000070",12.1,2.6,47.7,2.7,16.8,0,16.3,"Labour","Plaid Cymru"
"Dagenham & Rainham","E14000657",24.4,1.9,41.4,1.7,0,0,29.8,"Labour","UKIP"
"Darlington","E14000658",35.2,3.5,42.9,4.8,0,0,13.1,"Labour","Conservative"
"Dartford","E14000659",49,2.5,25.4,2.8,0,0,19.9,"Conservative","Labour"
"Daventry","E14000660",58.2,3.5,18.1,4.5,0,0,15.8,"Conservative","Labour"
"Delyn","W07000042",32.7,1.8,40.5,3.7,4.8,0,16.4,"Labour","Conservative"
"Denton & Reddish","E14000661",23.7,3.8,50.8,2.5,0,0,18.7,"Labour","Conservative"
"Derby North","E14000662",36.7,3.6,36.6,8.6,0,0,14.6,"Conservative","Labour"
"Derbyshire Dales","E14000664",52.4,4.6,22.7,8.4,0,0,11.6,"Conservative","Labour"
"Derbyshire Mid","E14000814",52.2,4,25.4,4.8,0,0,13.6,"Conservative","Labour"
"Derbyshire North East","E14000843",36.7,2.2,40.6,4.2,0,0,15.9,"Labour","Conservative"
"Derbyshire South","E14000935",49.4,2.4,26.8,3.7,0,0,17.7,"Conservative","Labour"
"Derby South","E14000663",27.4,3,49,4.2,0,0,15.5,"Labour","Conservative"
"Devizes","E14000665",57.7,5.8,13,8.1,0,0,15.4,"Conservative","UKIP"
"Devon Central","E14000623",52.2,8.9,12.8,12.2,0,0,13.2,"Conservative","UKIP"
"Devon East","E14000678",46.4,0,10.2,6.8,0,0,12.6,"Conservative","UKIP"
"Devon North","E14000838",42.7,5.8,7.1,29.4,0,0,14.8,"Conservative","Liberal Democrat"
"Devon South West","E14000950",56.6,4.8,16.7,7.5,0,0,14.5,"Conservative","Labour"
"Devon West & Torridge","E14001000",50.9,7,10.6,13.2,0,0,18.3,"Conservative","UKIP"
"Dewsbury","E14000666",39.1,2.5,41.8,3.6,0,0,12.4,"Labour","Conservative"
"Doncaster Central","E14000668",20.7,0,49.1,4.2,0,0,24.1,"Labour","UKIP"
"Doncaster North","E14000669",18.3,1.9,52.4,2.5,0,0,22.6,"Labour","UKIP"
"Don Valley","E14000667",25.3,0,46.2,3.5,0,0,23.5,"Labour","Conservative"
"Dorset Mid & Poole North","E14000815",50.8,2.8,6,28.2,0,0,12.2,"Conservative","Liberal Democrat"
"Dorset North","E14000839",56.6,5.7,9,11.7,0,0,17.1,"Conservative","UKIP"
"Dorset South","E14000936",48.9,4.7,24.2,6,0,0,15,"Conservative","Labour"
"Dorset West","E14001031",50.2,5.7,10,21.6,0,0,12.5,"Conservative","Liberal Democrat"
"Dover","E14000670",43.3,2.6,30.7,3.1,0,0,20.3,"Conservative","Labour"
"Dudley North","E14000671",30.8,1.4,41.8,1.3,0,0,24,"Labour","Conservative"
"Dudley South","E14000672",43.8,2.5,32.6,2.2,0,0,18.9,"Conservative","Labour"
"Dulwich & West Norwood","E14000673",22.7,9.4,54.1,9.8,0,0,3.1,"Labour","Conservative"
"Dumfries & Galloway","S14000013",29.9,0,24.7,1.7,0,41.4,2.3,"Scottish National Party","Conservative"
"Dumfriesshire, Clydesdale & Tweeddale","S14000014",39.8,1.6,14.8,2.7,0,38.3,2.8,"Conservative","Scottish National Party"
"Dunbartonshire East","S14000018",8.6,1.5,12.3,36.3,0,40.3,1,"Scottish National Party","Liberal Democrat"
"Dunbartonshire West","S14000059",7,0,31.3,1.6,0,59,0,"Scottish National Party","Labour"
"Dundee East","S14000015",15,1.9,19.9,2.9,0,59.7,0,"Scottish National Party","Labour"
"Dundee West","S14000016",8.6,2.7,23.7,2.4,0,61.9,0,"Scottish National Party","Labour"
"Dunfermline & West Fife","S14000017",11.9,2.1,31.7,4,0,50.3,0,"Scottish National Party","Labour"
"Durham, City of","E14000641",22.2,5.9,47.3,11.3,0,0,11.4,"Labour","Conservative"
